,Genus,Genus_ID,Ranked_Mapping_family,fractions_produces_but,total_fam_sizes
0,Lachnoanaerobaculum,NCBITaxon:1164882,Lachnospiraceae,0.08333333333333333,12
1,Ruminiclostridium,NCBITaxon:1508657,Oscillospiraceae,0.08333333333333333,12
