,Genus,Genus_ID,Ranked_Mapping_family,fractions_produces_but,total_fam_sizes
0,Lachnoanaerobaculum,NCBITaxon:1164882,Lachnospiraceae,0.08333333333333333,12
1,Roseburia,NCBITaxon:841,Lachnospiraceae,0.36363636363636365,11
2,Faecalibacterium,NCBITaxon:216851,Oscillospiraceae,0.4166666666666667,12
3,Anaerotruncus,NCBITaxon:244127,Oscillospiraceae,0.25,4
4,Subdoligranulum,NCBITaxon:292632,Oscillospiraceae,0.16666666666666666,6
