scenario,unit,increased_total,increased_producers,decreased_total,decreased_producers,chi2,pval,dof,contingency,producer_frac_increased,producer_frac_decreased,enrichment_ratio_dec_over_inc,odds_ratio_dec_vs_inc,cramers_v,dropped_from_increased_due_to_overlap,dropped_from_decreased_due_to_overlap,conflicting_descendants_excluded,conflict_descendants_retained,conflict_producers_retained,n_permutations,permutation_seed,n_permutations_ge_observed
A0_published_baseline,per-parent occurrence (not deduped),22382,145,2988,299,1337.3569687912984,8.612243737704552e-293,1,"[[145, 22237], [299, 2689]]",0.006478,0.100067,15.4462,17.0525,0.2296,,,,,,,,
A1_unique_strains_first_seen_wins,unique descendant per disease,12285,115,2202,239,766.3095015023025,1.140720094704704e-168,1,"[[115, 12170], [239, 1963]]",,,,,,505.0,546.0,,,,,,
A2_unique_strains_overlaps_excluded,"unique descendant, conflicts excluded",11740,115,1718,230,918.8038818379132,8.019168509645764e-202,1,"[[115, 11625], [230, 1488]]",,,,,,,,1029.0,,,,,
A2_keep_overlaps_unique_strains_both_bins,"unique descendant, conflicts retained in both bins",12769,124,2747,239,587.7345231738459,7.792620538922266e-130,1,"[[124, 12645], [239, 2508]]",,,,,,,,,1029.0,9.0,,,
A3_cluster_permutation,"per-parent bundle (parent->direction permuted, bundle intact)",22382,145,2988,299,1337.3569687912986,0.001002998997001003,,,,,,,,,,,,,1000000.0,12.0,1002.0
