diagnostic,value
n_parents,233.0
total_descendant_occurrences,25368.0
unique_descendants,14489.0
ratio_occurrences_to_unique,1.7508
descendants_in_both_directions,1028.0
increased_unique,12770.0
decreased_unique,2747.0
fanout_eq_1_parents,7820.0
fanout_eq_2_parents,2465.0
fanout_eq_3_parents,4198.0
fanout_eq_4_parents,6.0
