Name,Rank,Num_Strains,Num_Strains_Butyrate_Producers,Disease_Relationship,Num_Species,Num_Species_Butyrate_Producers
NCBITaxon:1853231,family,6,2,associated_with_increased_likelihood_of_MONDO:0005101,15,5
NCBITaxon:186804,family,320,13,associated_with_increased_likelihood_of_MONDO:0005101,46,14
NCBITaxon:186826,order,3510,30,associated_with_increased_likelihood_of_MONDO:0005101,870,57
NCBITaxon:1869337,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:203691,phylum,283,13,associated_with_increased_likelihood_of_MONDO:0005101,252,11
NCBITaxon:204516,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:2049,family,56,0,associated_with_increased_likelihood_of_MONDO:0005101,125,1
NCBITaxon:208479,species,9,3,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:2152,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:2172,genus,33,0,associated_with_decreased_likelihood_of_MONDO:0005101,16,0
NCBITaxon:2173,species,25,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:218,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:218538,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:228654,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:229037,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:237,genus,39,0,associated_with_increased_likelihood_of_MONDO:0005101,333,0
NCBITaxon:2383,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005101,2,0
NCBITaxon:239759,genus,13,5,associated_with_decreased_likelihood_of_MONDO:0005101,38,8
NCBITaxon:239935,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:265,genus,10,0,associated_with_increased_likelihood_of_MONDO:0005101,109,2
NCBITaxon:2702,species,29,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:27288,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:27314,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005101,9,0
NCBITaxon:2740,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,2,1
NCBITaxon:2753,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,2,1
NCBITaxon:28037,species,26,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:28111,species,3,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:28116,species,9,1,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:28117,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:28118,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:28132,species,4,1,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:28901,species,7,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:29001,species,1,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:290055,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:292632,genus,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:29317,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:29330,genus,18,0,associated_with_increased_likelihood_of_MONDO:0005101,32,2
NCBITaxon:29387,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:29465,genus,20,0,associated_with_increased_likelihood_of_MONDO:0005101,21,0
NCBITaxon:29466,species,5,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:29521,genus,15,8,associated_with_decreased_likelihood_of_MONDO:0005101,17,3
NCBITaxon:29580,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,10,0
NCBITaxon:29832,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,20,0
NCBITaxon:301301,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:301302,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:315405,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:31953,family,164,0,associated_with_increased_likelihood_of_MONDO:0005101,128,2
NCBITaxon:31977,family,37,5,associated_with_decreased_likelihood_of_MONDO:0005101,55,7
NCBITaxon:31979,family,176,44,associated_with_increased_likelihood_of_MONDO:0005101,261,77
NCBITaxon:32008,genus,300,0,associated_with_increased_likelihood_of_MONDO:0005101,55,2
NCBITaxon:32067,genus,22,0,associated_with_decreased_likelihood_of_MONDO:0005101,8,0
