Name,Rank,Num_Strains,Num_Strains_Butyrate_Producers,Disease_Relationship,Num_Species,Num_Species_Butyrate_Producers
NCBITaxon:1681,species,12,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1685,species,29,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1689,species,5,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1696,genus,12,0,associated_with_decreased_likelihood_of_MONDO:0005180,54,0
NCBITaxon:171549,order,396,94,associated_with_decreased_likelihood_of_MONDO:0005180,412,101
NCBITaxon:171550,family,14,5,associated_with_increased_likelihood_of_MONDO:0005180,49,11
NCBITaxon:171551,family,37,0,associated_with_increased_likelihood_of_MONDO:0005180,34,2
NCBITaxon:171552,family,102,27,associated_with_decreased_likelihood_of_MONDO:0005180,106,28
NCBITaxon:1716,genus,134,0,associated_with_decreased_likelihood_of_MONDO:0005180,198,0
NCBITaxon:1735,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1736,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:174708,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005180,3,0
NCBITaxon:1759399,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1776081,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:1790137,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1827,genus,53,0,associated_with_increased_likelihood_of_MONDO:0005180,53,0
NCBITaxon:1849041,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:186817,family,597,91,associated_with_decreased_likelihood_of_MONDO:0005180,962,258
NCBITaxon:186820,family,245,20,associated_with_decreased_likelihood_of_MONDO:0005180,31,18
NCBITaxon:1869337,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:187327,species,3,2,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:189330,genus,8,0,associated_with_decreased_likelihood_of_MONDO:0005180,15,1
NCBITaxon:194924,family,62,11,associated_with_decreased_likelihood_of_MONDO:0005180,119,18
NCBITaxon:1965555,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1965576,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:203557,family,2,0,associated_with_increased_likelihood_of_MONDO:0005180,38,0
NCBITaxon:2037,order,56,0,associated_with_increased_likelihood_of_MONDO:0005180,125,1
NCBITaxon:204516,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:206349,family,1,0,associated_with_increased_likelihood_of_MONDO:0005180,11,0
NCBITaxon:209879,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:2107999,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:212791,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:214856,species,2,1,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:216816,species,15,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:216851,genus,6,4,associated_with_decreased_likelihood_of_MONDO:0005180,19,8
NCBITaxon:2172,genus,33,0,associated_with_decreased_likelihood_of_MONDO:0005180,16,0
NCBITaxon:2173,species,25,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:218538,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:229037,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:230143,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:234,genus,273,0,associated_with_increased_likelihood_of_MONDO:0005180,30,0
NCBITaxon:239759,genus,13,5,associated_with_increased_likelihood_of_MONDO:0005180,38,8
NCBITaxon:239934,genus,2,0,associated_with_increased_likelihood_of_MONDO:0005180,7,0
NCBITaxon:239935,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:244127,genus,1,1,associated_with_increased_likelihood_of_MONDO:0005180,5,1
NCBITaxon:248038,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005180,2,0
NCBITaxon:254250,genus,6,0,associated_with_increased_likelihood_of_MONDO:0005180,15,0
NCBITaxon:2701,genus,37,0,associated_with_increased_likelihood_of_MONDO:0005180,6,0
NCBITaxon:2702,species,29,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:270498,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:2745,genus,6,0,associated_with_decreased_likelihood_of_MONDO:0005180,91,4
NCBITaxon:28025,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:28037,species,26,1,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:28123,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:28188,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:283168,genus,4,2,associated_with_increased_likelihood_of_MONDO:0005180,5,1
NCBITaxon:28447,species,4,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:290054,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:292632,genus,1,1,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:29317,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:29523,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:295418,genus,3,0,associated_with_decreased_likelihood_of_MONDO:0005180,6,0
NCBITaxon:301302,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:3062497,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:310297,species,2,2,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:310298,species,2,2,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:31953,family,164,0,associated_with_increased_likelihood_of_MONDO:0005180,128,2
NCBITaxon:32033,family,106,0,associated_with_increased_likelihood_of_MONDO:0005180,288,0
NCBITaxon:32067,genus,22,0,associated_with_decreased_likelihood_of_MONDO:0005180,8,0
NCBITaxon:32207,genus,10,0,associated_with_decreased_likelihood_of_MONDO:0005180,17,0
NCBITaxon:32257,genus,49,0,associated_with_decreased_likelihood_of_MONDO:0005180,7,0
NCBITaxon:328814,species,2,1,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:33024,genus,5,0,associated_with_increased_likelihood_of_MONDO:0005180,6,0
NCBITaxon:33039,species,5,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:33043,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:33882,genus,20,0,associated_with_increased_likelihood_of_MONDO:0005180,171,2
NCBITaxon:33945,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:33958,family,557,11,associated_with_increased_likelihood_of_MONDO:0005180,469,1
NCBITaxon:354349,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,5,0
NCBITaxon:356,order,267,3,associated_with_increased_likelihood_of_MONDO:0005180,1011,20
NCBITaxon:357276,species,6,4,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:35783,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:358023,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005180,12,0
NCBITaxon:35832,genus,3,1,associated_with_increased_likelihood_of_MONDO:0005180,2,0
NCBITaxon:37914,genus,6,0,associated_with_decreased_likelihood_of_MONDO:0005180,18,0
NCBITaxon:39488,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:39490,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:39491,species,4,2,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:39496,species,1,1,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:397864,genus,3,0,associated_with_increased_likelihood_of_MONDO:0005180,9,0
NCBITaxon:39948,genus,6,0,associated_with_increased_likelihood_of_MONDO:0005180,7,0
NCBITaxon:402384,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:40323,genus,41,0,associated_with_decreased_likelihood_of_MONDO:0005180,31,0
NCBITaxon:40518,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:41200,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:41275,genus,9,0,associated_with_decreased_likelihood_of_MONDO:0005180,44,0
NCBITaxon:418240,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:42374,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:43675,species,5,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:437755,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:44737,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:45401,family,9,0,associated_with_increased_likelihood_of_MONDO:0005180,41,2
NCBITaxon:46228,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:46503,species,5,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:468,family,1153,1,associated_with_increased_likelihood_of_MONDO:0005180,214,0
NCBITaxon:469,genus,1111,1,associated_with_increased_likelihood_of_MONDO:0005180,126,0
NCBITaxon:47715,species,31,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:482,genus,337,0,associated_with_decreased_likelihood_of_MONDO:0005180,47,0
NCBITaxon:48736,genus,29,0,associated_with_increased_likelihood_of_MONDO:0005180,18,4
NCBITaxon:4932,species,315,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:4950,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:49546,family,130,0,associated_with_decreased_likelihood_of_MONDO:0005180,1183,0
NCBITaxon:497726,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005180,3,0
NCBITaxon:501571,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:501783,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005180,4,0
NCBITaxon:504481,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005180,8,0
