Value	Rank	Genus	Family	Phylum	Location	Impt_Family
NCBITaxon:224729	strain	NCBITaxon:590	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:227946		NCBITaxon:338	NCBITaxon:32033	NCBITaxon:1224	human	other
NCBITaxon:2304625	species	NCBITaxon:28228	NCBITaxon:267889	NCBITaxon:1224	human	other
NCBITaxon:245188	species	NCBITaxon:2211641	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:2483812	species	NCBITaxon:2663134	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:2483814	species	not found	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:2489010	species	NCBITaxon:570	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:2491866	species	NCBITaxon:265	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:254356	species	NCBITaxon:1400060	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:2565930	species	NCBITaxon:2891324	NCBITaxon:2008794	NCBITaxon:1224	human	other
NCBITaxon:257772	species	NCBITaxon:2745	NCBITaxon:28256	NCBITaxon:1224	human	other
NCBITaxon:2584084	species	NCBITaxon:407	NCBITaxon:119045	NCBITaxon:1224	human	other
NCBITaxon:2587121	species	NCBITaxon:279	NCBITaxon:335928	NCBITaxon:1224	human	other
NCBITaxon:2587842	species	NCBITaxon:315422	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:2587844	species	NCBITaxon:2745	NCBITaxon:28256	NCBITaxon:1224	human	other
NCBITaxon:2587847	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:2587849	species	NCBITaxon:2745	NCBITaxon:28256	NCBITaxon:1224	human	other
NCBITaxon:2587850	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:2587852	species	NCBITaxon:93682	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:2587855	species	NCBITaxon:60136	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:2587860	species	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:2587861	species	NCBITaxon:478070	NCBITaxon:2821832	NCBITaxon:1224	human	other
NCBITaxon:2588299	species	NCBITaxon:93682	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:2607506	species	NCBITaxon:2745	NCBITaxon:28256	NCBITaxon:1224	human	other
NCBITaxon:2607908	species	NCBITaxon:286	NCBITaxon:135621	NCBITaxon:1224	human	other
NCBITaxon:2651833	species	NCBITaxon:1658781	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:2653182	species	NCBITaxon:85413	NCBITaxon:2831100	NCBITaxon:1224	human	other
NCBITaxon:2663836	species	NCBITaxon:374	NCBITaxon:41294	NCBITaxon:1224	human	other
NCBITaxon:2663837	species	NCBITaxon:374	NCBITaxon:41294	NCBITaxon:1224	human	other
NCBITaxon:2663839	species	NCBITaxon:374	NCBITaxon:41294	NCBITaxon:1224	human	other
NCBITaxon:2663840	species	NCBITaxon:374	NCBITaxon:41294	NCBITaxon:1224	human	other
NCBITaxon:2663841	species	NCBITaxon:374	NCBITaxon:41294	NCBITaxon:1224	human	other
NCBITaxon:2666134	species	NCBITaxon:152053	NCBITaxon:335928	NCBITaxon:1224	human	other
NCBITaxon:266809	species	NCBITaxon:266808	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:2681465	species	NCBITaxon:13134	NCBITaxon:41295	NCBITaxon:1224	human	other
NCBITaxon:2681466	species	NCBITaxon:13134	NCBITaxon:41295	NCBITaxon:1224	human	other
NCBITaxon:2681467	species	NCBITaxon:13134	NCBITaxon:41295	NCBITaxon:1224	human	other
NCBITaxon:2686094	species	NCBITaxon:2768684	NCBITaxon:76892	NCBITaxon:1224	human	other
NCBITaxon:269796	strain	NCBITaxon:1081	NCBITaxon:41295	NCBITaxon:1224	human	other
NCBITaxon:2705548	species	NCBITaxon:1827195	NCBITaxon:119060	NCBITaxon:1224	human	other
NCBITaxon:2712852	species	NCBITaxon:1033	NCBITaxon:41294	NCBITaxon:1224	human	other
NCBITaxon:2723311	species	NCBITaxon:561	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:2730946	species	NCBITaxon:561	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:2744555	species	NCBITaxon:97050	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:2805096	subspecies	NCBITaxon:29487	NCBITaxon:1903414	NCBITaxon:1224	human	other
NCBITaxon:2817726	species	NCBITaxon:13687	NCBITaxon:41297	NCBITaxon:1224	human	other
NCBITaxon:282199	species	NCBITaxon:282198	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:282217	species	NCBITaxon:34072	NCBITaxon:80864	NCBITaxon:1224	human	other
NCBITaxon:2842456	species	NCBITaxon:48736	NCBITaxon:119060	NCBITaxon:1224	human	other
NCBITaxon:292	species	NCBITaxon:32008	NCBITaxon:119060	NCBITaxon:1224	human	other
NCBITaxon:2954382	species	NCBITaxon:327159	not found	NCBITaxon:1224	human	other
NCBITaxon:2954383	species	NCBITaxon:327159	not found	NCBITaxon:1224	human	other
NCBITaxon:3058596	species	NCBITaxon:48736	NCBITaxon:119060	NCBITaxon:1224	human	other
NCBITaxon:3058599	species	NCBITaxon:48736	NCBITaxon:119060	NCBITaxon:1224	human	other
NCBITaxon:3058601	species	NCBITaxon:48736	NCBITaxon:119060	NCBITaxon:1224	human	other
NCBITaxon:3058602	species	NCBITaxon:48736	NCBITaxon:119060	NCBITaxon:1224	human	other
NCBITaxon:315423	species	NCBITaxon:315422	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:316056	strain	NCBITaxon:1073	NCBITaxon:41294	NCBITaxon:1224	human	other
NCBITaxon:317	species	NCBITaxon:286	NCBITaxon:135621	NCBITaxon:1224	human	other
NCBITaxon:32001	subspecies	NCBITaxon:507	NCBITaxon:506	NCBITaxon:1224	human	other
NCBITaxon:321267	species	NCBITaxon:573139	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:327160	species	NCBITaxon:327159	not found	NCBITaxon:1224	human	other
NCBITaxon:33051	species	NCBITaxon:13687	NCBITaxon:41297	NCBITaxon:1224	human	other
NCBITaxon:340021	species	NCBITaxon:335927	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:34073	species	NCBITaxon:34072	NCBITaxon:80864	NCBITaxon:1224	human	other
NCBITaxon:344880	species	NCBITaxon:13687	NCBITaxon:41297	NCBITaxon:1224	human	other
NCBITaxon:345073	strain	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:35703	species	NCBITaxon:544	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:35806	species	NCBITaxon:34008	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:375451	strain	NCBITaxon:2433	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:390880	species	NCBITaxon:86671	NCBITaxon:41295	NCBITaxon:1224	human	other
NCBITaxon:393278	species	NCBITaxon:393277	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:393663	species	NCBITaxon:311411	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:393664	species	NCBITaxon:3070965	NCBITaxon:82115	NCBITaxon:1224	human	other
NCBITaxon:395965	strain	NCBITaxon:120652	NCBITaxon:45404	NCBITaxon:1224	human	other
NCBITaxon:396013	species	NCBITaxon:1679449	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:420998	species	NCBITaxon:188905	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:441103	species	NCBITaxon:599653	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:460265	strain	NCBITaxon:407	NCBITaxon:119045	NCBITaxon:1224	human	other
NCBITaxon:474394	species	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:475083	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:47917	species	NCBITaxon:613	NCBITaxon:1903411	NCBITaxon:1224	human	other
NCBITaxon:481446	species	NCBITaxon:302485	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:505353	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:522306	species	NCBITaxon:327159	not found	NCBITaxon:1224	human	other
NCBITaxon:53249	species	NCBITaxon:53246	NCBITaxon:267888	NCBITaxon:1224	human	other
NCBITaxon:53501	species	NCBITaxon:335927	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:540747	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:546367	species	NCBITaxon:568	NCBITaxon:1903412	NCBITaxon:1224	human	other
NCBITaxon:560405	species	NCBITaxon:407	NCBITaxon:119045	NCBITaxon:1224	human	other
NCBITaxon:562	species	NCBITaxon:561	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:564	species	NCBITaxon:561	NCBITaxon:543	NCBITaxon:1224	human	other
