,Genus,Genus_ID,Ranked_Mapping_family,fractions_produces_but,total_fam_sizes
0,Alistipes,NCBITaxon:239759,NCBITaxon:171550,0.28888888888888886,45
1,Roseburia,NCBITaxon:841,NCBITaxon:186803,1.0,11
2,Listeria,NCBITaxon:1637,NCBITaxon:186820,0.225,160
3,Faecalibacterium,NCBITaxon:216851,NCBITaxon:216572,1.0,12
4,Clostridium,NCBITaxon:1485,NCBITaxon:31979,0.7619047619047619,126
