	Microbial_Subset	Num_Non-Human_butyrate_produces	Num_Human_butyrate_produces
0	gs_no_kg	97	84
1	proteomes_no_gs	3544	2914
2	gs_and_kg	119	96
3	organismal_no_gs	11	11
4	rhea_chebi_no_gs	3069	2469
5	ec_no_gs	911	835
6	all_no_gs	3548	2918
7	all_kg	3667	3014
8	gs_proteomes_no_annotation	64	56
9	gs_proteomes_total	181	150
10	proteomes_probable_protein_name	0	0
